ID,Наименование,Ссылка,Регулярная цена,Промо цена,Бренд
155311,"Grain Free Hypoallergenic Корм сухой гипоаллергенный для собак с лососем, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gf-hypo-korm-suhoy-gipoallergennyy-dlya-sobak-s-lososem-3-kg.html,0,8999,Ownat
120036,"Vet Life UltraHypo диетический сухой корм для собак, гипоаллергенный, 2кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/vet-life-natural-diet-dog-ultrahypo-2-kg.html,0,3645,Farmina
155069,"Adult Classic сухой корм для собак, с уткой, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-classic-korm-sukhoy-dlya-sobak-s-utkoy.html,0,5899,Ownat
112538,"Сухой корм для взрослых собак мелких пород, ягненок с индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-melkih-porod-yagnenok-s-risom-1kg.html,0,3445,Grandorf
120034,"Vet Life Gastrointestinal диетический сухой корм для собак, при заболеваниях ЖКТ, с курицей, 2кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/vet-life-natural-diet-dog-gastro-intestinal-2-kg.html,0,2775,Farmina
163798,"Fresh meat Корм сухой на основе свежего мяса для взрослых собак всех пород, с ягненком и рисом, 122",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-na-osnove-svezhego-myasa-dlya-vzroslyh-sobak-vseh-porod-s-yagnenkom-i-risom-12-kg.html,0,5689,Aвва
112550,"Сухой корм для взрослых собак мелких пород, четыре вида мяса, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-melkih-porod-chetyre-vida-myasa-s-burym-risom-1kg.html,0,3565,Grandorf
124637,"Adult Grain Free Сухой корм для взрослых собак, с уткой, 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-utkoy-14-kg.html,0,8399,Ownat
112540,"Сухой корм для взрослых собак средних и крупных пород, ягненок с индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-vseh-porod-yagnenok-s-risom-3kg.html,0,3445,Grandorf
148094,"Premium Adult Сухой корм для собак крупных пород, курица, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-premium-suh-2kg-dlya-sobak-krupnyh-porod-kurica.html,0,3799,Aвва
43629,"Prescription Diet z/d Сухой диетический гипоаллергенный корм для собак при пищевой аллергии, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Hills_ZD_dieticheskiy_suhoy_korm_dlya_sobak_ultra_dlyaecheniya_allergii.html,0,6455,Hill's
119932,"N&D PUMPKIN сухой корм для собак средних и крупных пород, с ягненком, тыквой и черникой, 12кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-adult-medium-maxi-2-5-kg.html,0,12685,Farmina
44098,"Premium Fresh Meat Adult сухой корм для собак всех пород старше 1 года, с лососем и рисом, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_Fresh_Meat_suhoy_korm_dlya_sobak_vseh_porodososris.html,0,1649,Aвва
153900,"Корм сухой для собак крупных пород, с ягненком и индейкой, 10 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-s-yagnenkom-i-indeykoy1.html,0,8995,Grandorf
138288,"Adult Classic Корм сухой для собак, с рыбой, 4 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-classic-korm-sukhoy-dlya-sobak-s-ryboy.html,0,1749,Ownat
117434,"Medium Adult Ultra Сухой корм для собак средних пород, с ягненком и рисом, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-srednih-porod-s-yagnenkom-i-risom-pak-3kg.html,2729,2320,Ownat
119928,"N&D PUMPKIN сухой корм для собак мелких пород, с ягненком, тыквой и черникой, 2,5кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-adult-mini-800-gr.html,0,3889,Farmina
146414,"Maxi сухой корм для собак крупных пород с ягненком, рисом и бобами, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-krupnyh-porod-s-yagnenkom-risom-i-bobami.html,0,5429,UNICA
117410,"Natural Ingredients Сухой корм для взрослых собак крупных пород, с курицей, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-krupnyh-porod-s-kuricey-mesh-12kg.html,0,4799,Aвва
45767,"Premium Adult Large сухой корм для собак крупных пород старше 1 года, с курицей, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_suhoy_korm_dlya_sobak_krupnyh_porod_kuritsa.html,0,4599,Aвва
117427,"Grain Free Just Сухой корм беззерновой для собак, с лососем и морепродуктами, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-just-korm-dlya-sobak-bezzernovoy-s-lososem-i-moreproduktami-pak-3kg.html,0,2325,Ownat
146416,"Mono All Breed сухой корм для собак всех пород с форелью, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-vseh-porod-s-forelyu.html,0,5449,UNICA
79897,"Medium Puppy корм для щенков средних пород 2-12 мес с 2 до 12 месяцев, 3 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/Royal_Canin_Medium_Junior_32_suhoy_korm_dlya_shchenkov.html,0,2239,Royal Canin
42407,"Mini Adult корм для взрослых собак малых пород с 10 месяцев до 8 лет, 2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Mini_Adult_27_suhoy_korm_dlya_sobak_melkih_porodr.html,0,1439,Royal Canin
147002,Regional Ocean Корм сухой для собак,https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/regional-ocean-korm-suhoy-dlya-sobak.html,0,6899,Dog & Dog Wild
42376,"Maxi Adult 26 корм для собак от 15 месяцев до 5 лет,15 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Maxi_Adult_26_suhoy_korm_dlya_sobak_krupnyh_porod.html,0,7729,Royal Canin
154325,"Сухой корм на основе свежего мяса для взрослых собак мелких пород, с ягненком 1,5 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/sukhoy-korm-na-osnove-svezhego-myasa-dlya-vzroslykh-sobak-melkikh-porod-s-yagnenkom-400g.html,0,1299,Aвва
113399,"Medium Sterilized Ultra Сухой корм для стерилизованных собак средних пород, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-dlya-sterilizovannyh-sobak-srednih-porod-3-kg.html,0,2745,Ownat
42654,"Hypoallergenic Small Dog Сухой корм диетический для собак малых пород весом менее 10 кг с пищевой аллергией, 1 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Royal_Canin_Hypoallergenicall_Dog_dieticheskiy_suhoy_korm_dlya_sobak.html,0,1579,Royal Canin
112532,"Сухой корм для щенков всех пород, ягненок, индейка, 3кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/suhoy-korm-grandorf-dlya-shchenkov-vseh-porod-yagnenok-s-risom-1kg.html,0,3445,Grandorf
140801,"Fresh Meat Сухой корм для собак мелких пород, с ягненком, 1,5 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/fresh-meat-suhoy-korm-dlya-sobak-melkih-porod-s-yagnenkom-1-5-kg.html,0,1599,Grandin
42647,"Hypoallergenic DR21 диета для собак с пищевой аллергией или непереносимостью, 2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Royal_Canin_Hypoallergenic_korm_dieticheskiy_suhoy_dlya_sobak_pri_allergii.html,0,3065,Royal Canin
84191,"Корм сухой для собак средних пород 11-25 кг., пак. 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Medium_Adult_suhoy_korm_dlya_sobak_srednih_porod_ves_vzrosloy_osobi_ot_11_kg_do_25.html,0,1865,Royal Canin
42347,"Opti Digest сухой корм для взрослых собак для средних пород при чувствительном пищеварении с ягненком, 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Pro_Plan_Adult_suhoy_korm_dlya_sobak_s_chuvstvitelnym_pishchevareniem_yagnenokris.html,0,8189,PRO PLAN®
112534,"Сухой корм для юниоров всех пород, ягненок с индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-yuniorov-vseh-porod-yagnenok-s-risom-3kg.html,0,3445,Grandorf
42649,"Gastro Intestinal GI25 корм для собак при нарушении пищеварения, 2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Royal_Canin_Gastro_Intestinal_GI_korm_dieticheskiy_suhoy_dlya_sobak.html,0,2947,Royal Canin
45780,"Science Plan Сухой корм для взрослых собак средних пород для поддержания иммунитета, с ягненком и рисом, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Hills_Standard_suhoy_korm_dlya_sobak_yagnenokris.html,0,9199,Hill's
145781,"Adult Care Dermatologic Сухой корм для собак всех пород склонных к дерматологической чувствительности, с лососем, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-care-dlya-sobak-vseh-porod-dermatologic-s-lososem-pak-3kg.html,0,2645,Ownat
119935,"N&D PUMPKIN сухой корм для щенков мелких пород, с ягненком, тыквой и черникой, 2,5кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-puppy-mini-800-gr.html,0,3889,Farmina
137261,"Mini низкозерновой сухой корм для взрослых собак мелких пород, с ягненком, спельтой, овсом и черникой, 2,5кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/farmina-n-d-nizkozernovoy-dog-yagnenok-spelta-oves-i-chernika-dlya-vzroslyh-sobak-mini-800g.html,3045,2741,Farmina
139891,"Premium Dog Adult Large and Giant сухой корм для собак крупных и гигантских пород с курицей, 15 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/premium-dog-adult-large-and-giant-s-kuricey-dlya-vzroslyh-sobak-krupnyh-i-gigantskih-porod.html,0,4999,Brit
42417,"Mini Puppy корм для щенков мелких пород в возрасте с 2 до 10 месяцев, 2 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Mini_Junior_33_suhoy_korm_dlya_shchenkov_melkih_porod.html,0,1485,Royal Canin
31799,"Science Plan Сухой корм для взрослых собак крупных пород для поддержания здоровья суставов и мышечной массы, с ягненком и рисом, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Korm_dlya_sobak_krupnyh_porod_Hills_yagnenok_i_ris_mesh__12kg_1005397.html,0,9125,Hill's
85050,"Сухой корм гипоаллергенный для собак всех пород старше 1 года, с ягненком и рисом, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Nasha_Marka_suhoy_korm_dlya_sobak_vseh_sobak_yagnenokris.html,0,2389,Наша Марка
148091,"Premium Puppy Сухой корм для щенков крупных пород, индейка, 12 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/avva-premium-suh-2kg-dlya-shchenkov-krupnyh-porod-indeyka.html,0,3949,Aвва
82156,"All Breeds Puppy and Junior корм для щенков всех пород, с лососем и рисом, 12 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/monge-dog-speciality-puppy-junior-korm-dlya-shchenkov-vseh-porod-losos-s-ri.html,0,10615,Monge
42636,"Veterinary Diets EN Gastrointestinal сухой корм для щенков и взрослых собак при расстройствах пищеварения и экзокринной недостаточности поджелудочной железы, 1,5 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Purina_Veterinary_Diets_EN_dieticheskiy_suhoy_korm_dlya_sobak_pri_GKT.html,0,2525,PRO PLAN® Veterinary Diets
147005,Regional Grassland Корм сухой для собак,https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/regional-grassland-korm-suhoy-dlya-sobak.html,0,6899,Dog & Dog Wild
146280,"Корм сухой для взрослых собак, с говядиной и овощами, 15 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-vzroslyh-sobak-s-govyadinoy-i-ovoshchami.html,4979,4233,Sirius
48999,"Сухой корм для собак средних пород OptiDerma с чувствительной кожей, с высоким содержанием лосося 14 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/medium-adult-sensitive-skin-korm-dlya-sobak-srednih-porod-s-chuvstvitelnoy-kozhey-s-lososem.html,0,8189,PRO PLAN®
138282,"Junior Classic Сухой корм для щенков, с курицей, 15 кг",https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/ownat-classic-korm-sukhoy-dlya-shchenkov-s-kuritsey-new2.html,6499,5200,Ownat
112547,"Сухой корм для взрослых собак средних и крупных пород, кролик с индейкой, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-vseh-porod-krolik-s-kartofelem-1kg.html,0,3565,Grandorf
32193,"Veterinary Diets HA Hypoallergenic сухой корм для взрослых собак для снижения пищевой непереносимости ингредиентов и питательных веществ, 3 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Korm_dlya_sobak_Purina_VetDieta_NA_pri_allergii_suh__pak__3kg_1000613.html,0,5129,PRO PLAN® Veterinary Diets
154329,"Senior Сухой корм на основе свежего мяса для собак мелких пород, с индейкой, 1,5 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/sukhoy-korm-na-osnove-svezhego-myasa-dlya-sobak-senor-melkikh-porod-s-indeykoy-400g.html,0,1299,Aвва
154323,"Сухой корм на основе свежего мяса для щенков мелких пород, с индейкой, 1,5 кг",https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/sukhoy-korm-na-osnove-svezhego-myasa-dlya-shchenkov-melkikh-porod-s-indeykoy-400g.html,0,1299,Aвва
