ID,Наименование,Ссылка,Регулярная цена,Промо цена,Бренд
151180,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 3 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html?offer=124642,[''],571,Ownat
82177,"All Breeds Adult корм для взрослых собак всех пород, с ягненком, рисом и картофелем, 12 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/monge-dog-speciality-korm-dlya-sobak-vseh-porod-yagnenok-s-risom-ikartofelem-12-kg.html?offer=82178,[''],9103,Monge
120035,"Vet Life UltraHypo диетический сухой корм для собак, гипоаллергенный, 2кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/vet-life-natural-diet-dog-ultrahypo-2-kg.html?offer=120036,[''],3073,Farmina
112536,"Сухой корм для взрослых собак мелких пород, ягненок с индейкой, 3 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-melkih-porod-yagnenok-s-risom-1kg.html?offer=112538,[''],1139,Grandorf
153899,"Корм сухой для собак крупных пород, с ягненком и индейкой, 10 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-s-yagnenkom-i-indeykoy1.html?offer=153900,[''],7250,Grandorf
112548,"Сухой корм для взрослых собак мелких пород, четыре вида мяса, 3 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-melkih-porod-chetyre-vida-myasa-s-burym-risom-1kg.html?offer=112550,[''],1201,Grandorf
43594,"Premium Adult Large сухой корм для собак крупных пород старше 1 года, с курицей, 12 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_suhoy_korm_dlya_sobak_krupnyh_porod_kuritsa.html?offer=45767,[''],1017,Aвва
120033,"Vet Life Gastrointestinal диетический сухой корм для собак, при заболеваниях ЖКТ, с курицей, 2кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/vet-life-natural-diet-dog-gastro-intestinal-2-kg.html?offer=120034,[''],2342,Farmina
112539,"Сухой корм для взрослых собак средних и крупных пород, ягненок с индейкой, 3 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-vseh-porod-yagnenok-s-risom-3kg.html?offer=112540,[''],2637,Grandorf
146412,"Maxi сухой корм для собак крупных пород с ягненком, рисом и бобами, 12 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-krupnyh-porod-s-yagnenkom-risom-i-bobami.html?offer=146414,[''],1605,UNICA
138291,"Adult Classic Сухой корм для собак, с уткой, 15 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-classic-korm-sukhoy-dlya-sobak-s-utkoy.html?offer=138294,[''],1906,Ownat
119930,"N&D PUMPKIN сухой корм для собак средних и крупных пород, с ягненком, тыквой и черникой, 12кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-adult-medium-maxi-2-5-kg.html?offer=119932,[''],3432,Farmina
117409,"Natural Ingredients Сухой корм для взрослых собак крупных пород, с курицей, 12 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-krupnyh-porod-s-kuricey-mesh-12kg.html?offer=117410,[''],1415,Aвва
117433,"Medium Adult Ultra Сухой корм для собак средних пород, с ягненком и рисом, 3 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-srednih-porod-s-yagnenkom-i-risom-pak-3kg.html?offer=117434,['2729'],2117,Ownat
42375,"Maxi Adult 26 корм для собак от 15 месяцев до 5 лет,15 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Maxi_Adult_26_suhoy_korm_dlya_sobak_krupnyh_porod.html?offer=42376,[''],1915,Royal Canin
120029,"Vet Life Hypoallergenic диетический сухой корм для собак, гипоаллергенный, 2кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/vet-life-natural-diet-dog-hypoallergenic-fish-potato-2-kg.html?offer=120030,[''],2705,Farmina
81126,"All Breeds Adult корм для взрослых собак всех пород, с ягненком, рисом и картофелем, 2,5 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/monge-dog-speciality-korm-dlya-sobak-vseh-porod-yagnenok-s-risom-i-kartofe.html?offer=81127,[''],2363,Monge
119926,"N&D PUMPKIN сухой корм для собак мелких пород, с ягненком, тыквой и черникой, 7кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-adult-mini-800-gr.html?offer=119929,[''],1353,Farmina
155219,"Сухой корм для взрослых собак мелких пород, с ягненком, 8 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/fresh-meat-suhoy-korm-dlya-sobak-melkih-porod-s-yagnenkom-1-5-kg.html?offer=146405,[''],464,Grandin
ID,Наименование,Ссылка,Регулярная цена,Промо цена,Бренд
82151,"Mini Adult корм для взрослых собак мелких пород, с ягненком, рисом и картофелем, 2,5 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/monge-dog-speciality-mini-korm-dlya-vzroslyh-sobak-melkih-porod-yagnenok-s1.html?offer=82152,[''],2363,Monge
42406,"Mini Adult корм для взрослых собак малых пород с 10 месяцев до 8 лет, 2 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Mini_Adult_27_suhoy_korm_dlya_sobak_melkih_porodr.html?offer=42407,[''],482,Royal Canin
139889,"Premium Dog Adult Large and Giant сухой корм для собак крупных и гигантских пород с курицей, 15 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/premium-dog-adult-large-and-giant-s-kuricey-dlya-vzroslyh-sobak-krupnyh-i-gigantskih-porod.html?offer=139891,['4999'],1168,Brit
117435,"Maxi Junior Ultra Сухой корм для щенков крупных пород, с курицей и индейкой, 14 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-shchenkov-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html?offer=117437,[''],2647,Ownat
42648,"Gastro Intestinal GI25 корм для собак при нарушении пищеварения, 2 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Gastro_Intestinal_GI_korm_dieticheskiy_suhoy_dlya_sobak.html?offer=42649,[''],2598,Royal Canin
138285,"Adult Classic Корм сухой для собак, с рыбой, 4 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-classic-korm-sukhoy-dlya-sobak-s-ryboy.html?offer=138288,[''],1696,Ownat
124636,"Adult Grain Free Сухой корм для взрослых собак, с уткой, 14 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-utkoy-14-kg.html?offer=124637,[''],2264,Ownat
148092,"Premium Adult Сухой корм для собак крупных пород, курица, 12 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-premium-suh-2kg-dlya-sobak-krupnyh-porod-kurica.html?offer=148094,[''],852,Aвва
138279,"Junior Classic Сухой корм для щенков, с курицей, 15 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-classic-korm-sukhoy-dlya-shchenkov-s-kuritsey-new2.html?offer=138282,[''],1465,Ownat
66437,"Medium Puppy корм для щенков средних пород 2-12 мес с 2 до 12 месяцев, 3 кг",https://4lapy.ru//catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Medium_Junior_32_suhoy_korm_dlya_shchenkov.html?offer=79897,[''],2129,Royal Canin
